Type,Human Rights Suppliers,Human Rights Processes/Policy Child Labor,Human Rights Processes/Policy Forced Labor,Community Reputation Code of Conduct/Policy Bribery and Corruption,Value - Human Rights/Policy,CSR Sustainability Reporting,VOC Emissions Reduction Initiatives,Emission Reduction Objectives/Targets Emissions Reduction,Value - Board Structure/Board Diversity,Environmental Investments Initiatives,Product Responsibility Processes/Policy Customer Health & Safety,Employee Resource Groups,Resource Efficiency Processes/Policy Energy Efficiency,Biodiversity Impact Reduction,Value - Board Structure/Independent Board Members,Product Responsibility Monitoring,Executive Members Gender Diversity,Emissions Trading,Balanced Board Structure Policy Elements/Policy Board Independence,Value - Board Functions/Audit Committee Expertise,Board Size,Balanced Board Structure Policy Elements/Policy Board Size,Value - Board Functions/Policy,Value - Shareholder Rights/Policy,Product Recall,CURRENT EV / 12M FWD SALES,CEO Board Member,FY1 EPS MEAN EST,SALES PER SHARE,Value - Board Structure/Specific Skills,Different Share classes different rights,Renewable Energy Use,e-Waste Reduction Initiatives,Environmental Partnerships,EMPLOYEES NUMBER,Product Responsibility Score,Value - Board Structure/Background and Skills,Limited Shareholder Rights to Call Meetings,ESG Controversies Score,Value - Emission Reduction/Environmental Expenditures,Environment Management Training,Market,ESG_Rating
III,1,1,1,1,1,1,0,0,50.0,0,0,0,1,0,66.67,0,10.0,0,0,1,10.0,1,0,1,0,6.333,1,484.378,1.196,58.33,0,1,1,0,244.0,42.75,1,1,100.0,0,1,United Kingdom,B
AZN,1,1,1,1,1,1,1,1,46.15,1,1,1,1,1,78.57,1,41.67,0,1,1,13.0,1,1,1,0,4.607,1,7.903,23.721,50.0,0,1,0,1,89900.0,96.3,1,1,48.39,1,0,United Kingdom,A
HSBA,1,1,1,1,1,1,0,1,46.67,1,0,1,1,0,87.5,0,23.81,0,1,1,15.0,1,1,1,0,6.621,1,1.266,5.901,68.75,0,1,1,1,220861.0,26.23,1,0,1.38,1,1,United Kingdom,B
PIN,1,0,1,0,1,0,0,0,40.0,0,0,0,0,0,85.71,0,15.38,0,0,1,5.0,0,0,1,0,1.7885,1,16.414,0.176,14.29,0,0,0,0,3167.0,50.0,1,1,100.0,0,0,United Kingdom,D
ULVR,1,1,1,1,1,1,0,1,38.46,1,1,1,1,1,73.33,1,26.67,0,1,1,13.0,1,1,1,1,2.708,1,2.893,20.557,46.67,0,1,0,1,128000.0,89.33,1,1,2.38,1,1,United Kingdom,A
BGS,0,0,0,0,0,0,0,1,33.33,0,0,1,0,0,100.0,0,15.38,0,0,1,6.0,0,0,1,0,1.7885,1,1.751,-0.243,42.86,0,0,0,1,3167.0,50.0,1,1,100.0,0,0,United Kingdom,C
BP.,1,1,1,1,1,1,0,1,45.45,1,0,1,1,1,81.82,0,50.0,1,1,1,11.0,1,1,1,0,0.573,1,0.633,9.709,36.36,0,1,0,1,87800.0,66.54,1,1,5.36,1,1,United Kingdom,A
FGEN,0,0,0,0,0,0,0,0,42.86,0,0,0,1,0,100.0,0,15.38,0,1,1,7.0,1,0,1,0,1.7885,1,10.713,-0.006,37.5,0,1,0,0,3167.0,42.75,1,1,100.0,0,1,United Kingdom,C
EBOX,1,1,1,1,1,1,0,1,40.0,0,0,0,1,1,100.0,0,20.0,0,0,1,5.0,1,0,1,0,1.7885,0,0.05,0.083,80.0,0,1,0,0,3167.0,21.84,1,1,100.0,0,0,United Kingdom,D
SHED,1,0,1,1,1,1,0,1,40.0,0,0,0,0,1,71.43,0,0.0,0,1,1,5.0,1,0,1,0,13.389,1,7.645,0.127,42.86,0,1,0,0,3167.0,36.77,1,1,100.0,0,1,United Kingdom,C
