Environment Management Training,Emissions Trading,e-Waste Reduction Initiatives,VOC Emissions Reduction Initiatives,Value - Emission Reduction/Environmental Expenditures,Emission Reduction Objectives/Targets Emissions Reduction,Environmental Partnerships,Environmental Investments Initiatives,Resource Efficiency Processes/Policy Energy Efficiency,Renewable Energy Use,Biodiversity Impact Reduction,Employee Resource Groups,EMPLOYEES NUMBER,Product Responsibility Processes/Policy Customer Health & Safety,Value - Human Rights/Policy,Human Rights Suppliers,Human Rights Processes/Policy Child Labor,Human Rights Processes/Policy Forced Labor,Product Responsibility Score,Product Responsibility Monitoring,Product Recall,Balanced Board Structure Policy Elements/Policy Board Independence,Value - Board Structure/Background and Skills,Value - Board Functions/Policy,Value - Board Structure/Board Diversity,Board Size,Value - Board Structure/Specific Skills,Balanced Board Structure Policy Elements/Policy Board Size,Value - Board Functions/Audit Committee Expertise,Different Share classes different rights,Limited Shareholder Rights to Call Meetings,Value - Shareholder Rights/Policy,Community Reputation Code of Conduct/Policy Bribery and Corruption,Executive Members Gender Diversity,CSR Sustainability Reporting,CEO Board Member,Value - Board Structure/Independent Board Members,CURRENT EV / 12M FWD SALES,SALES PER SHARE,FY1 EPS MEAN EST,Market,Type,ESG Controversies Score,ESG_Rating
1,1,1,1,1,1,1,1,1,1,1,1,161000.0,1,1,1,1,1,53.77,0,0,1,0,1,33.33,9.0,55.56,1,1,0,1,1,1,40.0,1,1,88.89,8.434,24.239,6.703,United States,@AAPL,2.38,A
0,0,0,0,0,1,1,0,0,1,1,1,6907.0,1,1,0,0,1,92.7,0,0,1,0,1,33.33,9.0,77.78,0,1,1,1,1,1,16.67,1,1,55.56,5.697,14.98,4.128,United States,@ABNB,29.26,C
1,1,0,0,0,1,0,0,1,1,1,1,6400.0,1,1,1,1,1,32.5,0,0,1,0,1,23.08,13.0,69.23,1,1,0,1,1,1,20.0,1,1,84.62,2.529,34.905,9.011,United States,@ACGL,100.0,B
0,0,1,0,0,1,1,0,1,1,0,1,29945.0,0,1,1,1,1,33.88,0,0,1,0,1,33.33,12.0,66.67,0,1,0,1,1,1,22.22,1,1,91.67,10.749,42.285,18.172,United States,@ADBE,25.19,B
1,0,0,0,0,1,1,0,1,1,1,0,26000.0,1,1,1,1,1,76.28,0,0,1,0,1,33.33,13.0,71.43,1,1,0,1,1,1,33.33,1,1,78.57,12.021,24.321,6.328,United States,@ADI,100.0,B
1,0,1,0,0,1,1,0,1,1,0,1,64000.0,0,1,0,1,1,80.14,0,0,1,0,1,36.36,11.0,25.0,1,1,0,1,1,1,22.22,1,1,91.67,3.648,46.586,10.031,United States,@ADP,100.0,A
1,0,1,0,0,1,1,1,1,1,0,1,14100.0,0,1,1,1,1,32.46,0,0,1,0,1,45.45,11.0,54.55,1,1,0,1,1,1,60.0,1,1,90.91,8.548,25.449,8.209,United States,@ADSK,28.62,A
1,0,1,0,1,1,1,1,1,1,1,1,17250.0,0,1,1,1,1,64.73,1,0,1,0,0,41.67,12.0,80.0,1,1,0,1,1,1,30.77,1,1,93.33,4.602,36.49,5.622,United States,@AEP,100.0,A
0,0,1,0,0,1,1,1,1,1,0,1,10250.0,0,1,1,1,1,33.88,0,0,1,0,1,30.0,10.0,63.64,1,1,0,1,1,1,11.11,1,1,90.91,4.324,24.53,6.434,United States,@AKAM,81.48,B
1,0,0,0,0,0,1,0,1,1,0,1,21610.0,0,1,1,1,1,41.4,0,0,1,0,1,30.0,10.0,30.0,0,1,0,1,1,1,20.0,1,1,90.0,3.922,50.442,9.383,United States,@ALGN,81.25,C
0,0,1,0,0,1,0,0,1,0,0,1,2100.0,1,1,0,0,0,97.13,0,0,1,0,1,45.45,11.0,66.67,0,1,0,1,1,1,37.5,1,1,83.33,13.157,14.637,-2.551,United States,@ALNY,100.0,B
1,0,0,0,1,1,1,1,1,1,0,1,34000.0,1,1,1,1,1,87.21,0,0,1,0,1,33.33,12.0,58.33,1,1,0,1,1,1,12.5,1,1,83.33,5.41,31.381,8.529,United States,@AMAT,100.0,A
1,0,1,0,0,1,1,0,1,1,0,1,26000.0,0,1,1,1,1,42.56,0,0,1,0,1,33.33,9.0,70.0,1,1,0,1,1,1,14.29,1,1,90.0,7.789,13.957,3.405,United States,@AMD,83.33,B
1,0,0,0,0,1,1,0,1,1,0,1,26700.0,0,1,1,1,1,77.36,1,0,0,0,1,23.08,13.0,46.15,1,1,0,1,1,1,33.33,1,1,92.31,6.893,52.398,19.493,United States,@AMGN,4.93,A
